kodewil_susenaspre2022,total_cat,filled_susenas,filled_ski,empty_both,susenas_perc,ski_perc,sus_ski_rat,sus_ski_dev
1812,259,210,254,5,0.810810810810811,0.980694980694981,0.826771653543307,-0.16988416988417
1813,253,241,227,11,0.952569169960474,0.897233201581028,1.06167400881057,0.0553359683794467
1871,132,132,132,132,1,1,1,0
1872,132,132,132,132,1,1,1,0
1901,261,256,251,3,0.980842911877395,0.961685823754789,1.0199203187251,0.0191570881226053
1902,262,257,250,2,0.980916030534351,0.954198473282443,1.028,0.0267175572519084
1903,259,252,249,5,0.972972972972973,0.961389961389961,1.01204819277108,0.0115830115830117
1904,259,243,250,5,0.938223938223938,0.965250965250965,0.972,-0.027027027027027
1905,260,241,253,4,0.926923076923077,0.973076923076923,0.952569169960474,-0.0461538461538461
1906,263,259,257,1,0.984790874524715,0.977186311787072,1.00778210116732,0.00760456273764254
1971,132,131,132,132,0.992424242424242,1,0.992424242424242,-0.00757575757575757
2101,259,244,253,5,0.942084942084942,0.976833976833977,0.964426877470356,-0.0347490347490348
2102,252,233,231,12,0.924603174603175,0.916666666666667,1.00865800865801,0.00793650793650802
2103,259,251,252,5,0.969111969111969,0.972972972972973,0.996031746031746,-0.00386100386100396
2104,264,259,250,0,0.981060606060606,0.946969696969697,1.036,0.0340909090909091
2105,258,250,241,6,0.968992248062015,0.934108527131783,1.03734439834025,0.0348837209302325
2171,220,208,158,44,0.945454545454546,0.718181818181818,1.31645569620253,0.227272727272727
2172,216,198,172,48,0.916666666666667,0.796296296296296,1.15116279069767,0.12037037037037
3101,131,130,129,133,0.99236641221374,0.984732824427481,1.0077519379845,0.00763358778625956
3171,132,132,131,132,1,0.992424242424242,1.00763358778626,0.00757575757575757
3172,161,132,161,103,0.819875776397516,1,0.819875776397516,-0.180124223602484
3173,132,132,132,132,1,1,1,0
3174,132,132,130,132,1,0.984848484848485,1.01538461538462,0.0151515151515151
3175,132,132,131,132,1,0.992424242424242,1.00763358778626,0.00757575757575757
3201,259,258,198,5,0.996138996138996,0.764478764478765,1.3030303030303,0.231660231660232
3202,262,261,251,2,0.99618320610687,0.958015267175572,1.0398406374502,0.0381679389312978
3203,263,259,254,1,0.984790874524715,0.965779467680608,1.01968503937008,0.0190114068441064
3204,259,256,190,5,0.988416988416988,0.733590733590734,1.34736842105263,0.254826254826255
3205,264,263,248,0,0.996212121212121,0.939393939393939,1.06048387096774,0.0568181818181818
3206,264,260,257,0,0.984848484848485,0.973484848484848,1.01167315175097,0.0113636363636364
3207,264,263,256,0,0.996212121212121,0.96969696969697,1.02734375,0.0265151515151515
3208,264,262,252,0,0.992424242424242,0.954545454545455,1.03968253968254,0.0378787878787878
3209,263,262,181,1,0.996197718631179,0.688212927756654,1.4475138121547,0.307984790874525
3210,264,263,249,0,0.996212121212121,0.943181818181818,1.05622489959839,0.053030303030303
3211,264,261,252,0,0.988636363636364,0.954545454545455,1.03571428571429,0.0340909090909091
3212,264,261,254,0,0.988636363636364,0.962121212121212,1.02755905511811,0.0265151515151515
3213,264,261,258,0,0.988636363636364,0.977272727272727,1.01162790697674,0.0113636363636364
3214,262,260,237,2,0.99236641221374,0.904580152671756,1.09704641350211,0.0877862595419847
3215,263,262,235,1,0.996197718631179,0.893536121673004,1.11489361702128,0.102661596958175
3216,257,255,207,7,0.992217898832685,0.805447470817121,1.23188405797101,0.186770428015564
3217,263,263,204,1,1,0.775665399239544,1.28921568627451,0.224334600760456
3218,263,261,256,1,0.992395437262357,0.973384030418251,1.01953125,0.0190114068441065
3271,132,132,132,132,1,1,1,0
3272,132,132,131,132,1,0.992424242424242,1.00763358778626,0.00757575757575757
3273,132,132,130,132,1,0.984848484848485,1.01538461538462,0.0151515151515151
3274,132,130,131,132,0.984848484848485,0.992424242424242,0.99236641221374,-0.00757575757575757
3275,132,132,132,132,1,1,1,0
3276,132,132,131,132,1,0.992424242424242,1.00763358778626,0.00757575757575757
3277,132,131,132,132,0.992424242424242,1,0.992424242424242,-0.00757575757575757
